class name	function name	function line	type	#variables	#coefficients	time H text (s)	time H image (s)	Time H Total (s)	Time KDM (s)
EmbeddingComposite	sample_qubo	268	TupleWithoutOffset	7	16	0.0008131000000002331	0.26704660000000047	0.6448057999999994	0.021307700000000374
EmbeddingComposite	sample	149	QUBO	7	16	0.0005164999999998088	0.16552489999999942	0.2802862000000008	0.01931399999999961
