class name	function name	function line	type	#variables	#coefficients	time H text (s)	time H image (s)	Time H Total (s)	Time KDM (s)
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.001233600000000834	1.9326349	3.4866437	0.0315638000000007
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.0007835000000007142	1.5455824000000007	2.5878286	0.0438761999999997
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.0009320999999999913	1.4202142000000002	2.3142529999999972	0.07493100000000297
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.000939299999998866	1.5245049000000002	2.546334399999999	0.08105740000000239
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.0007897000000056664	1.4213267000000016	2.3314597	0.09454269999999809
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.0008705999999989444	1.6129853999999995	2.604125400000001	0.0894151999999977
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.0010861000000019772	1.519463899999998	2.624510899999997	0.10646900000000414
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.0007489999999990005	1.4355644999999981	2.4075009000000023	0.1253339000000011
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.00105100000000391	1.7627826000000013	2.770087799999999	0.13049469999999985
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.0008890000000008058	1.497579799999997	2.4609406999999948	0.14603479999999536
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.0006581999999966115	1.0120482999999965	1.7054284999999965	0.11836420000000203
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.0006593000000023608	1.1171243000000004	1.8390681000000058	0.13583529999999655
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.0007726999999988493	1.0993262000000072	1.7427432000000067	0.2669331999999969
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.000690199999993979	1.0325280999999933	1.7363955000000004	0.15253710000000353
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.0008966999999984182	1.5430451999999946	2.386301000000003	0.18239129999999193
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.0007068999999972903	1.272533199999998	2.0544510999999943	0.2761911999999995
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.002010300000002019	2.197284	5.271762500000001	0.047368500000001035
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.0018759999999993227	1.4493568000000003	2.9851936000000023	0.07347070000000144
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.0013833000000005313	1.5929866000000032	3.026454500000007	0.11897150000000067
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.0017616999999958693	1.4945372999999975	2.900662699999998	0.12507140000000305
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.0015184000000019182	1.7263091000000017	3.2057298000000003	0.17230490000000032
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.0016249000000030378	1.826221700000005	3.4148704999999993	0.23162500000000108
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.001073300000001609	1.6453611000000024	3.567440099999999	0.2552944000000039
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.012062099999994302	2.463846799999999	4.084494299999996	0.3533285000000035
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.0018459000000063952	1.8435832999999917	3.401310600000002	0.2918884999999989
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.0017385000000018636	1.770692699999998	3.9848692999999997	0.2787033999999977
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.0016423999999943817	1.8042334999999952	3.345829699999996	0.30458300000000804
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.012044199999991179	1.8073844000000037	3.593492999999995	0.3295329000000038
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.0016418000000015809	1.7706395000000015	3.2645690000000087	0.32827610000001073
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.0016987999999997783	2.2097359000000125	3.942222599999994	0.3483318999999909
FixedEmbeddingComposite	sample	437	QUBO	8	36	0.012112700000002974	1.7769341999999995	3.2547567000000015	0.3341898999999984
FixedEmbeddingComposite	sample	149	QUBO	8	36	0.012327099999993152	1.728279299999997	2.9054504000000065	0.3714879000000053
