class name	function name	function line	type	#variables	#coefficients	time H text (s)	time H image (s)	Time H Total (s)	Time KDM (s)
LeapHybridSampler	sample	181	QUBO	16	92	0.0007832000000007611	0.7649673000000003	2.2373047999999987	0.02950710000000001
LeapHybridSampler	sample	181	QUBO	16	92	0.001681300000001329	2.487851199999998	6.212369499999999	0.10142039999999852
