class name	function name	function line	type	#variables	#coefficients	time H text (s)	time H image (s)	Time H Total (s)	Time KDM (s)
HybridSampler	sample	548	QUBO	2	3	0.0007762999999982867	1.0254588999999967	1.3330114999999978	0.007817900000006262
HybridSampler	sample	548	QUBO	6	20	0.0005100000000055616	0.29595390000000066	0.6509021999999902	0.01738149999999905
HybridSampler	sample	548	QUBO	2	3	0.0006820999999916921	0.05359599999999887	0.1047328999999877	0.017491500000005544
HybridSampler	sample	548	QUBO	2	3	0.0005505999999968481	0.04945920000000115	0.0934415000000115	0.01759479999999769
HybridSampler	sample	548	QUBO	2	3	0.0005628000000115208	0.04751240000000223	0.09068960000000459	0.01700660000000198
HybridSampler	sample	548	QUBO	2	3	0.0005536999999975478	0.0483191000000005	0.09147640000000479	0.01984339999999918
HybridSampler	sample	548	QUBO	2	3	0.0006415999999944688	0.056196899999989114	0.1049603000000019	0.020036599999997406
HybridSampler	sample	548	QUBO	6	20	0.0005473999999878743	0.3094344000000149	0.6879490999999973	0.024760400000019445
HybridSampler	sample	548	QUBO	2	3	0.0005548000000032971	0.051901600000007875	0.09750470000000178	0.0250190999999802
HybridSampler	sample	548	QUBO	2	3	0.0005991000000165059	0.065362499999992	0.1315811999999994	0.0270306999999832
HybridSampler	sample	548	QUBO	2	3	0.0006130000000155178	0.07841600000000426	0.14329179999998587	0.040512299999988954
HybridSampler	sample	548	QUBO	2	3	0.0005552000000079715	0.04577059999999733	0.09015489999998749	0.023837400000019215
HybridSampler	sample	548	QUBO	2	3	0.0009885000000053878	0.054427400000008674	0.1166902999999877	0.028570900000005395
HybridSampler	sample	548	QUBO	6	20	0.0006474000000196156	0.325663899999995	0.6914120999999795	0.029696800000010626
HybridSampler	sample	548	QUBO	2	3	0.0007399999999790907	0.058446699999990415	0.1171440999999902	0.03229959999998755
HybridSampler	sample	548	QUBO	2	3	0.0005649000000005344	0.04943899999997825	0.09308610000002204	0.024732400000004873
HybridSampler	sample	548	QUBO	2	3	0.0005921000000057575	0.05188000000001125	0.0951763999999855	0.03165960000001178
HybridSampler	sample	548	QUBO	2	3	0.0026196000000027198	0.04573100000001773	0.09142950000000383	0.03242050000000063
HybridSampler	sample	548	QUBO	2	3	0.0006258999999886328	0.04928150000000642	0.09398160000000644	0.0276924000000065
HybridSampler	sample	548	QUBO	2	3	0.0006083999999759726	0.05182639999998173	0.09553260000001274	0.03376599999995733
HybridSampler	sample	548	QUBO	2	3	0.0005168000000139727	0.04932310000003781	0.09545199999996612	0.04060029999999415
HybridSampler	sample	548	QUBO	6	20	0.0007183999999824664	0.3693983000000003	0.8252786999999557	0.04712939999996024
HybridSampler	sample	548	QUBO	2	3	0.002297399999974914	0.04793920000003027	0.09279129999998759	0.03699970000002395
HybridSampler	sample	548	QUBO	2	3	0.0005484000000137712	0.049033699999995406	0.09208449999999857	0.037578299999950104
HybridSampler	sample	548	QUBO	2	3	0.0005600000000072214	0.4039417000000185	0.4478603000000021	0.03941379999997707
HybridSampler	sample	548	QUBO	2	3	0.0006007000000067819	0.05379679999998643	0.10097439999998414	0.04222779999997783
HybridSampler	sample	548	QUBO	2	3	0.0005807999999660751	0.049018999999987045	0.09247009999995726	0.04157340000000431
HybridSampler	sample	548	QUBO	2	3	0.0005919000000176311	0.06732649999997875	0.11671619999998484	0.050941899999997986
HybridSampler	sample	548	QUBO	2	3	0.0005898000000001957	0.051327800000024126	0.09522220000002335	0.039637000000027456
HybridSampler	sample	548	QUBO	6	20	0.0005674000000226442	0.304437900000039	0.6621586999999636	0.04367020000000821
HybridSampler	sample	548	QUBO	2	3	0.0005916000000070198	0.05028879999997571	0.09553970000001755	0.058757100000036644
HybridSampler	sample	548	QUBO	6	20	0.0005643000000077336	0.3225398999999811	0.6684762000000433	0.04526490000000649
