class name	function name	function line	type	#variables	#coefficients	time H text (s)	time H image (s)	Time H Total (s)	Time KDM (s)
QBSolv	sample_qubo	268	TupleWithoutOffset	110	3100	0.002954299999998966	2.4999999936881068e-06	0.6209566999999936	106.23243629999999
QBSolv	sample_qubo	268	TupleWithoutOffset	110	3100	0.004219000000034612	3.900000024259498e-06	1.2524286999999958	139.38280980000002
QBSolv	sample_qubo	268	TupleWithoutOffset	110	3100	0.0039375000000063665	2.5000000505315256e-06	0.7887600000000248	156.80352720000008
